"idinvestiment";"iduser";"idperson";"idsgcompany";"dtbuy";"dtsell";"dtregister"
222;1;17;15;"2020-06-22";"2020-09-04";"2021-04-15 14:12:34"
223;1;10;9;"2020-06-22";"2020-12-03";"2021-04-15 14:13:18"
224;1;9;7;"2020-06-23";"2020-08-12";"2021-04-15 14:14:06"
225;1;17;15;"2020-06-23";"2020-09-04";"2021-04-15 14:14:29"
226;1;10;9;"2020-06-23";"2020-12-03";"2021-04-15 14:14:55"
227;1;3;3;"2020-06-24";"2020-07-01";"2021-04-15 14:16:44"
228;1;8;6;"2020-06-25";"2020-06-30";"2021-04-15 14:17:08"
229;1;9;7;"2020-06-25";"2020-08-12";"2021-04-15 14:17:43"
230;1;10;9;"2020-06-28";"2020-12-03";"2021-04-15 14:18:14"
233;1;3;3;"2020-07-01";"2020-07-01";"2021-04-15 14:29:44"
234;1;10;9;"2020-07-01";"2020-12-03";"2021-04-15 14:30:34"
238;1;10;9;"2020-07-09";"2020-12-03";"2021-04-15 16:59:01"
239;1;8;6;"2020-07-10";"2020-07-27";"2021-04-15 16:59:33"
240;1;19;17;"2020-07-10";"2020-07-16";"2021-04-15 17:01:01"
243;1;8;6;"2020-07-13";"2020-07-27";"2021-04-15 17:04:11"
244;1;8;6;"2020-07-13";"2020-07-27";"2021-04-15 17:04:29"
245;1;10;9;"2020-07-13";"2020-12-03";"2021-04-15 17:05:20"
246;1;19;17;"2020-07-13";"2020-07-16";"2021-04-15 17:06:00"
247;1;19;17;"2020-07-13";"2020-07-16";"2021-04-15 17:06:22"
248;1;15;13;"2020-07-14";"2020-07-16";"2021-04-15 17:06:53"
249;1;3;3;"2020-07-14";"2020-07-22";"2021-04-15 17:07:21"
250;1;19;17;"2020-07-14";"2020-07-16";"2021-04-15 17:07:40"
251;1;15;13;"2020-07-15";"2020-07-16";"2021-04-15 17:08:04"
253;1;8;6;"2020-07-16";"2020-07-27";"2021-04-15 17:10:28"
254;1;20;18;"2020-07-16";"2020-06-30";"2021-04-15 17:11:36"
255;1;20;18;"2020-07-20";"2020-08-24";"2021-04-15 17:12:06"
256;1;19;17;"2020-07-21";"2020-09-08";"2021-04-15 17:12:41"
259;1;20;18;"2020-07-23";"2020-12-14";"2021-04-21 04:17:21"
260;1;15;13;"2020-07-23";"2020-07-28";"2021-04-15 17:17:09"
261;1;20;18;"2020-07-23";"2020-07-30";"2021-04-15 17:18:15"
262;1;15;13;"2020-07-27";"2020-07-28";"2021-04-15 17:19:02"
263;1;18;16;"2020-07-27";"2020-08-25";"2021-04-15 17:19:26"
264;1;19;17;"2020-07-27";"2020-09-08";"2021-04-15 17:20:06"
265;1;20;18;"2020-07-27";"2020-12-14";"2021-04-15 17:20:30"
267;1;15;13;"2020-07-28";"2020-07-28";"2021-04-15 17:22:52"
268;1;21;19;"2020-07-28";"2020-11-26";"2021-04-15 17:25:50"
269;1;18;16;"2020-07-28";"2020-08-25";"2021-04-15 17:26:25"
270;1;19;17;"2020-07-28";"2020-09-08";"2021-04-15 17:26:51"
273;1;19;17;"2020-08-03";"2020-09-08";"2021-04-15 17:32:53"
274;1;3;3;"2020-08-03";"2020-09-17";"2021-04-15 17:33:11"
275;1;15;13;"2020-08-03";"";"2021-04-15 17:33:46"
276;1;19;17;"2020-08-04";"2020-09-08";"2021-04-15 17:34:19"
277;1;8;6;"2020-08-12";"2020-08-21";"2021-04-15 17:34:49"
278;1;3;3;"2020-08-12";"2020-09-17";"2021-04-15 17:35:15"
279;1;15;13;"2020-08-12";"";"2021-04-15 17:35:47"
281;1;8;6;"2020-08-13";"2020-08-21";"2021-04-15 17:38:06"
282;1;15;13;"2020-08-13";"";"2021-04-15 17:38:24"
283;1;8;6;"2020-08-14";"2020-08-21";"2021-04-15 17:38:46"
284;1;8;6;"2020-08-17";"2020-08-21";"2021-04-15 17:39:03"
285;1;22;20;"2020-08-19";"2020-08-25";"2021-04-15 17:40:05"
286;1;23;21;"2020-08-19";"2020-08-28";"2021-04-15 17:40:59"
287;1;17;15;"2020-08-19";"2020-09-04";"2021-04-15 17:41:25"
288;1;24;22;"2020-08-19";"2020-09-08";"2021-04-15 17:42:33"
289;1;24;23;"2020-08-19";"2020-11-05";"2021-04-15 17:43:40"
290;1;15;13;"2020-08-19";"";"2021-04-15 17:44:00"
